Time (ns),Current (nA),Voltage (mV),Energy (uJ)
230381000,1025200,3593,1060.4
231238000,1025200,3593,1061.2
232230000,1025200,3594,1062.5
233088000,1025200,3594,1063.7
234335000,1025200,3594,1065
235193000,1025200,3594,1066.2
236185000,1025200,3594,1071.8
237273000,1025200,3594,1079.1
238352000,1025200,3594,1086
239686000,1025200,3594,1095.1
240765000,1025200,3594,1102
241844000,1025200,3594,1109.8
242923000,944700,3594,1114.5
244008000,944700,3594,1117.9
245349000,944700,3595,1121.7
246433000,944700,3594,1125.1
247523000,944700,3595,1128.6
248608000,944700,3594,1131.5
249693000,944700,3594,1135
251032000,944700,3594,1138.8
252115000,944700,3594,1142.2
253199000,944700,3594,1145.6
254283000,944700,3594,1151.2
255368000,944700,3594,1159
256719000,944700,3594,1165.4
257576000,944700,3594,1168
258573000,944700,3593,1171
259435000,986100,3592,1173.1
260432000,986100,3593,1174.3
261551000,986100,3593,1177.3
262548000,986100,3593,1183.8
263632000,986100,3592,1191.1
264716000,986100,3593,1198.9
265800000,986100,3592,1205.8
267227000,986100,3592,1215.7
268086000,986100,3592,1219.1
269084000,986100,3593,1223
270169000,986100,3593,1226.8
271253000,986100,3593,1231.1
272372000,1328600,3593,1235
273365000,1328600,3593,1238.8
274445000,1328600,3593,1242.7
275302000,1328600,3593,1246.1
276294000,1328600,3592,1249.5
277413000,1328600,3593,1253.8
278405000,1328600,3593,1257.2
279269000,1328600,3593,1260.2
280261000,1328600,3593,1264.1
281120000,1328600,3592,1267.1
282368000,1328600,3593,1271.8
283225000,1328600,3592,1274.8
284217000,1328600,3592,1278.2
285075000,1328600,3592,1279.5
286068000,1328600,3593,1280.7
287187000,1328600,3593,1281.9
288179000,1328600,3593,1283.2
289037000,1328600,3593,1284
290030000,1328600,3593,1285.3
291110000,1328600,3593,1286.9
292221000,1328600,3593,1288.2
293214000,1328600,3593,1289.4
294072000,1328600,3594,1290.2
295064000,729000,3594,1294.5
296143000,729000,3594,1301.9
297484000,729000,3593,1310.5
298563000,729000,3594,1317.4
299642000,729000,3593,1325.1
300721000,729000,3594,1332.5
301801000,729000,3593,1337.6
303135000,729000,3594,1344.1
304214000,729000,3594,1348.8
305294000,1613600,3593,1354
306372000,1613600,3593,1359.1
307457000,1613600,3593,1363.8
308793000,1613600,3593,1370.3
309872000,1613600,3594,1375
310951000,1613600,3593,1380.2
312031000,1613600,3594,1384.9
313109000,1613600,3594,1389.6
314448000,1613600,3594,1394.3
315312000,1613600,3594,1395.6
316309000,1613600,3595,1396.8
317178000,1613600,3594,1397.6
