Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"150488000","72416600","3574","1.96695361E7"
"151482000","72342900","3574","1.96697952E7"
"152567000","72269400","3574","1.96700774E7"
"153430000","72269400","3574","1.96703018E7"
"154678000","72209300","3575","1.96706263E7"
"155537000","72209300","3575","1.9670849E7"
"156530000","72153000","3575","1.96711072E7"
"157389000","72153000","3575","1.96713299E7"
"158381000","72241300","3575","1.96715885E7"
"159495000","72253000","3575","1.96718784E7"
"160487000","72253000","3575","1.96721378E7"
"161345000","72354700","3575","1.96723602E7"
"162338000","72354700","3575","1.96726183E7"
"163202000","72118500","3574","1.96728424E7"
"164450000","71984000","3574","1.96731659E7"
"165309000","71984000","3574","1.96733895E7"
"166302000","72153000","3574","1.96736469E7"
"167160000","72153000","3574","1.967387E7"
"168154000","72153000","3574","1.96741278E7"
"169268000","72568600","3574","1.96744189E7"
"170261000","72568600","3575","1.96746779E7"
"171341000","72359800","3575","1.96749589E7"
"172199000","72359800","3576","1.96751816E7"
"173197000","72168200","3575","1.96754411E7"
"174532000","72328800","3575","1.96757887E7"
"175390000","72328800","3574","1.96760127E7"
"176383000","72367900","3574","1.96762709E7"
"177462000","72329400","3574","1.96765519E7"
"178321000","72329400","3574","1.96767759E7"
"179569000","72396500","3574","1.96771011E7"
"180429000","72396500","3575","1.96773252E7"
"181422000","72229700","3575","1.96775829E7"
"182280000","72229700","3575","1.96778061E7"
"183278000","72105100","3574","1.96780647E7"
"184392000","72084000","3574","1.96783537E7"
"185384000","72084000","3574","1.96786123E7"
"186242000","72241300","3574","1.9678835E7"
"187234000","72241300","3574","1.96790936E7"
"188093000","72456300","3574","1.96793177E7"
"189341000","72359500","3574","1.96796429E7"
"190199000","72359500","3574","1.96798661E7"
"191192000","72177900","3575","1.96801239E7"
"192050000","72177900","3575","1.9680347E7"
"193048000","72168200","3575","1.96806061E7"
"194162000","72253000","3574","1.96808959E7"
"195161000","72253000","3575","1.96811558E7"
"196241000","72294300","3574","1.96814367E7"
"197320000","72112100","3574","1.96817168E7"
"198178000","72112100","3574","1.96819409E7"
"199426000","72551800","3574","1.9682267E7"
"200285000","72551800","3574","1.96824906E7"
"201279000","72166400","3573","1.96827483E7"
"202358000","72286500","3573","1.96830293E7"
"203222000","72286500","3573","1.96832537E7"
"204471000","72276500","3573","1.9683579E7"
"205330000","72276500","3573","1.96838034E7"
"206323000","72191300","3573","1.96840603E7"
"207181000","72191300","3573","1.96842835E7"
"208173000","72393000","3573","1.96845425E7"
"209288000","72463400","3573","1.96848332E7"
"210281000","72463400","3573","1.96850914E7"
"211140000","72254600","3573","1.9685315E7"
"212133000","72254600","3574","1.96855728E7"
"212998000","72093700","3574","1.96857972E7"
"214246000","72077800","3574","1.96861212E7"
"215105000","72077800","3574","1.96863452E7"
"216098000","72279600","3574","1.9686603E7"
"216957000","72279600","3575","1.96868257E7"
"217950000","72317900","3575","1.96870852E7"
"219064000","72463400","3575","1.96873758E7"
"220058000","72463400","3575","1.9687634E7"
"221138000","72315100","3575","1.96879158E7"
"222218000","72003500","3574","1.96881955E7"
"223082000","72003500","3575","1.968842E7"
"224331000","72088200","3575","1.9688744E7"
"225190000","72088200","3575","1.9688968E7"
"226183000","72317900","3575","1.96892262E7"
"227263000","72395100","3575","1.96895076E7"
"228122000","72395100","3575","1.96897311E7"
"229370000","72362900","3575","1.96900564E7"
"230228000","72362900","3575","1.96902792E7"
"231221000","72089700","3575","1.96905369E7"
"232078000","72089700","3574","1.96907601E7"
"233076000","72130000","3574","1.96910187E7"
"234191000","72211500","3574","1.96913085E7"
"235183000","72211500","3574","1.96915663E7"
"236042000","72241300","3574","1.96917899E7"
"237039000","72241300","3575","1.96920493E7"
"237898000","72484000","3574","1.96922742E7"
"239147000","72265600","3574","1.9692599E7"
"240006000","72265600","3573","1.96928218E7"
"240998000","72153000","3573","1.969308E7"
"241862000","72153000","3574","1.9693304E7"
"242861000","72084200","3574","1.96935634E7"
"243976000","72001300","3575","1.96938524E7"
"244970000","72001300","3575","1.96941102E7"
"246050000","72337400","3575","1.96943924E7"
"247130000","72286500","3575","1.96946734E7"
"247988000","72286500","3574","1.96948974E7"
"249236000","72329200","3575","1.96952218E7"
"250095000","72329200","3575","1.96954446E7"
"251088000","72191300","3575","1.96957032E7"
"252168000","72286500","3575","1.96959841E7"
"253032000","72286500","3576","1.96962086E7"
"254280000","72221000","3576","1.96965334E7"
"255139000","72221000","3575","1.96967562E7"
"256132000","72216300","3575","1.96970148E7"
"256990000","72216300","3575","1.96972388E7"
"257983000","72494600","3575","1.96974978E7"
"259096000","72084000","3575","1.96977868E7"
"260089000","72084000","3575","1.96980458E7"
"260948000","72216300","3575","1.96982681E7"
"261940000","72216300","3575","1.96985263E7"
"262804000","72269600","3575","1.96987512E7"
"264053000","72077800","3575","1.96990752E7"
"264912000","72077800","3575","1.96992979E7"
"265905000","72279600","3575","1.9699557E7"
"266764000","72279600","3575","1.96997814E7"
"267757000","72292900","3575","1.97000392E7"
"268872000","72358200","3575","1.97003294E7"
"269864000","72358200","3575","1.97005872E7"
"270945000","72190100","3575","1.97008681E7"
"271803000","72190100","3575","1.97010922E7"
"272802000","72307800","3575","1.97013516E7"
"273915000","72189300","3574","1.9701641E7"
"274907000","72189300","3574","1.97018988E7"
"275766000","72304600","3574","1.97021228E7"
"276759000","72304600","3575","1.97023822E7"
"277617000","72431300","3575","1.97026054E7"
"278870000","72194200","3575","1.97029311E7"
"279729000","72194200","3574","1.97031538E7"
"280722000","72153000","3575","1.9703412E7"
"281580000","72153000","3575","1.97036352E7"
"282572000","72202900","3574","1.9703893E7"
"283691000","72131900","3575","1.97041836E7"
"284684000","72131900","3575","1.97044422E7"
"285542000","72393000","3575","1.97046658E7"
"286536000","72393000","3575","1.97049257E7"
"287616000","72428100","3576","1.97052067E7"
"288730000","72084000","3577","1.97054957E7"
"289723000","72084000","3576","1.97057547E7"
"290582000","72191300","3576","1.9705977E7"
"291575000","72191300","3575","1.97062352E7"
"292661000","72193400","3575","1.97065174E7"
"293776000","71791000","3575","1.97068056E7"
"294769000","71791000","3575","1.9707065E7"
"295850000","72541200","3575","1.97073473E7"
"296708000","72541200","3575","1.970757E7"
"297700000","72202900","3575","1.97078282E7"
"299036000","72206300","3575","1.97081754E7"
"299895000","72206300","3576","1.9708399E7"
"300889000","72229700","3576","1.97086572E7"
"301969000","72135200","3575","1.97089377E7"
"302833000","72135200","3575","1.97091617E7"
"304081000","72242900","3575","1.9709487E7"
"304940000","72242900","3576","1.9709711E7"
"305933000","72571000","3576","1.97099709E7"
"306792000","72571000","3576","1.97101936E7"
"307784000","72114600","3576","1.97104514E7"
"308898000","72399800","3576","1.97107416E7"
"309890000","72399800","3575","1.97109994E7"
"310749000","72153000","3575","1.97112226E7"
"311741000","72153000","3575","1.97114799E7"
"312599000","72101200","3575","1.97117027E7"
"313853000","72063900","3575","1.97120279E7"
"314712000","72063900","3575","1.97122524E7"
"315704000","72532800","3575","1.97125114E7"
"316564000","72532800","3575","1.9712735E7"
"317556000","72216300","3574","1.97129927E7"
"318669000","72189300","3574","1.97132821E7"
"319663000","72189300","3574","1.97135399E7"
"320748000","72328400","3574","1.97138234E7"
"321607000","72328400","3574","1.97140474E7"
"322598000","72266300","3574","1.97143048E7"
"323718000","72027200","3574","1.9714595E7"
"324710000","72027200","3575","1.97148536E7"
"325569000","72431300","3575","1.97150776E7"
"326562000","72431300","3575","1.97153358E7"
"327421000","72128100","3575","1.97155586E7"
"328667000","72188900","3575","1.97158826E7"
"329527000","72188900","3574","1.97161062E7"
"330520000","72254600","3573","1.97163643E7"
"331378000","72254600","3574","1.97165875E7"
"332371000","72089700","3575","1.97168449E7"
"333492000","72154100","3575","1.97171359E7"
"334484000","72154100","3574","1.97173954E7"
"335342000","72519700","3574","1.9717619E7"
"336336000","72519700","3574","1.97178772E7"
"337416000","72167900","3574","1.97181577E7"
"338530000","72042600","3574","1.97184467E7"
"339522000","72042600","3575","1.97187057E7"
"340381000","72469500","3575","1.97189297E7"
"341375000","72469500","3575","1.97191883E7"
"342455000","72280900","3575","1.97194693E7"
"343575000","72404600","3575","1.97197613E7"
"344568000","72404600","3575","1.97200211E7"
"345649000","72428100","3575","1.97203021E7"
"346507000","72428100","3575","1.97205253E7"
