Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","72595900","3563","1318.3"
"858000","72595900","3574","1542.3"
"1851000","72557900","3580","1801.8"
"2709000","72557900","3572","2025.8"
"3702000","72557900","3570","2285.2"
"4815000","72399800","3571","2575.5"
"5808000","72399800","3571","2835.4"
"6666000","72621200","3572","3059.4"
"7660000","72621200","3572","3319.2"
"8518000","72532800","3573","3542.8"
"9766000","72772300","3573","3869.8"
"10630000","72772300","3574","4095.1"
"11622000","72459000","3575","4354.1"
"12481000","72459000","3576","4578.5"
"13474000","72532800","3577","4837.6"
"14588000","72463400","3574","5128.2"
"15581000","72463400","3574","5387.7"
"16660000","72551800","3575","5669.5"
"17740000","72720800","3576","5952.1"
"18599000","72720800","3576","6176.6"
"19848000","72430100","3576","6501.8"
"20712000","72430100","3576","6727.5"
"21705000","72585300","3576","6987.0"
"22784000","72546600","3575","7268.8"
"23643000","72546600","3574","7493.2"
"24891000","72474100","3575","7818.5"
"25750000","72474100","3575","8042.9"
"26742000","72557900","3576","8302.0"
"27600000","72557900","3575","8526.8"
"28593000","72621200","3574","8785.9"
"29707000","72463400","3574","9076.5"
"30705000","72463400","3574","9336.8"
"31564000","72522200","3574","9561.3"
"32556000","72522200","3574","9820.7"
"33416000","72444500","3574","10044.3"
"34664000","72547200","3574","10370.4"
"35524000","72547200","3574","10594.8"
"36521000","72585300","3575","10855.6"
"37380000","72585300","3575","11080.4"
"38374000","72609200","3574","11339.9"
"39488000","72358200","3575","11630.1"
"40487000","72358200","3575","11890.8"
"41567000","72531600","3575","12173.1"
"42647000","72503600","3575","12454.9"
"43506000","72503600","3575","12679.3"
"44755000","72507700","3574","13005.0"
"45613000","72507700","3574","13229.4"
"46606000","72596100","3574","13488.9"
"47687000","72417800","3574","13770.7"
"48545000","72417800","3574","13995.1"
"49793000","72551800","3575","14320.8"
"50657000","72551800","3575","14546.1"
"51650000","72522200","3574","14805.6"
"52508000","72522200","3575","15029.6"
"53501000","72494600","3576","15288.6"
"54616000","72421800","3576","15579.3"
"55609000","72421800","3576","15838.7"
"56467000","72557900","3575","16062.7"
"57459000","72557900","3575","16322.6"
"58318000","72596100","3575","16546.6"
"59565000","72339800","3575","16871.5"
"60430000","72339800","3575","17097.2"
"61423000","72560300","3575","17356.6"
"62282000","72560300","3575","17580.2"
"63275000","72381200","3574","17839.2"
"64390000","72106400","3575","18128.6"
"65383000","72106400","3574","18387.7"
"66462000","72551800","3574","18669.9"
"67321000","72551800","3574","18894.3"
"68314000","72634300","3574","19154.2"
"69428000","72399800","3574","19444.5"
"70426000","72399800","3574","19704.8"
"71286000","72346000","3574","19928.3"
"72278000","72346000","3574","20187.8"
"73137000","72494600","3574","20411.4"
"74385000","72302700","3573","20736.2"
"75244000","72302700","3573","20960.2"
"76237000","72444500","3573","21219.3"
"77094000","72444500","3574","21444.1"
"78092000","72572200","3574","21704.0"
"79206000","72505100","3574","21994.7"
"80204000","72505100","3575","22255.0"
"81062000","72459000","3574","22479.0"
"82056000","72459000","3574","22738.9"
"83136000","72507000","3575","23020.2"
"84251000","72316700","3574","23310.5"
"85243000","72316700","3574","23570.4"
"86106000","72572200","3574","23795.2"
"87099000","72572200","3574","24055.5"
"88179000","72586000","3574","24336.9"
"89293000","72358200","3574","24627.2"
"90293000","72358200","3574","24888.7"
"91374000","72599600","3574","25171.0"
"92232000","72599600","3574","25395.0"
"93225000","72557900","3574","25654.4"
"94340000","72421800","3575","25945.1"
"95331000","72421800","3575","26205.0"
"96191000","72684600","3575","26429.4"
"97183000","72684600","3575","26689.3"
"98042000","72557900","3575","26912.9"
"99289000","72715600","3575","27239.4"
"100152000","72715600","3574","27465.1"
"101144000","72572200","3574","27724.1"
"102003000","72572200","3574","27947.7"
"102995000","72583000","3574","28207.6"
"104109000","72568600","3573","28498.7"
"105102000","72568600","3574","28758.1"
"105960000","72596100","3574","28982.6"
"106954000","72596100","3574","29241.6"
"108035000","72541200","3574","29524.3"
"109148000","72610300","3574","29815.3"
"110146000","72610300","3574","30076.1"
"111005000","72522200","3575","30300.1"
"111998000","72522200","3574","30560.4"
"113079000","72654200","3575","30842.6"
"114193000","72505100","3575","31133.3"
"115187000","72505100","3576","31393.1"
"116267000","72541200","3576","31675.0"
"117126000","72541200","3576","31899.0"
"118118000","72596100","3576","32158.8"
"119232000","72610300","3576","32449.9"
"120235000","72564000","3576","32711.9"
"121094000","72564000","3576","32936.4"
"122086000","72532800","3576","33195.4"
"122945000","72532800","3577","33419.8"
"124193000","72529800","3577","33745.5"
"125052000","72529800","3577","33969.9"
"126045000","72659400","3577","34229.8"
"126904000","72659400","3577","34453.8"
"127896000","72532800","3577","34713.3"
"129011000","72779000","3577","35005.2"
"130009000","72779000","3577","35265.5"
"130868000","72497200","3578","35489.9"
"131861000","72497200","3578","35749.8"
"132941000","72620100","3577","36032.1"
"134056000","72673800","3578","36323.6"
"135048000","72673800","3578","36582.2"
"135907000","72494600","3577","36806.6"
"136900000","72494600","3578","37066.5"
"137980000","72620100","3577","37348.7"
"139094000","72463400","3577","37639.4"
"140093000","72463400","3577","37900.9"
"141174000","72622000","3577","38183.2"
"142033000","72622000","3577","38408.0"
"143026000","72659400","3577","38667.5"
"144140000","72673800","3577","38959.0"
"145132000","72673800","3577","39218.0"
"145992000","72532800","3577","39442.5"
"146984000","72532800","3577","39701.9"
"147843000","72596100","3577","39926.4"
"149091000","72396600","3577","40251.6"
"149951000","72396600","3578","40476.9"
"150949000","72661400","3578","40737.6"
"151807000","72661400","3578","40961.2"
"152799000","72583000","3578","41221.1"
"153914000","72673800","3577","41512.6"
"154906000","72673800","3578","41771.6"
"155763000","72608100","3577","41996.1"
"156756000","72608100","3577","42254.7"
"157836000","72529400","3577","42537.3"
"158951000","72526900","3577","42828.4"
"159944000","72526900","3577","43088.3"
"160808000","72686500","3577","43314.4"
"161807000","72686500","3577","43574.3"
"162887000","72497600","3577","43856.9"
"164001000","72568600","3576","44148.0"
"164995000","72568600","3576","44407.9"
"166075000","72676600","3576","44690.6"
"166933000","72676600","3576","44914.2"
"167926000","72532800","3576","45174.0"
"169040000","72505100","3576","45464.7"
"170039000","72505100","3576","45726.3"
"170897000","72560300","3577","45949.9"
"171890000","72560300","3576","46209.3"
"172748000","72557900","3576","46433.3"
"173996000","72772300","3576","46760.3"
"174854000","72772300","3577","46983.9"
"175848000","72469500","3577","47243.3"
"176707000","72469500","3576","47468.2"
"177699000","72659400","3576","47727.6"
"178813000","72673800","3576","48019.1"
"179806000","72673800","3576","48278.6"
"180670000","72585300","3576","48504.3"
"181664000","72585300","3576","48763.3"
"182745000","72518800","3576","49046.0"
"183859000","72568600","3577","49337.1"
"184853000","72568600","3577","49596.5"
"185933000","72563500","3577","49878.7"
"186790000","72563500","3577","50102.8"
"187782000","72608100","3577","50362.2"
"189117000","72592200","3577","50711.1"
"189982000","72592200","3577","50936.8"
"190975000","72560300","3577","51196.3"
"192060000","72485500","3577","51479.3"
"192918000","72485500","3577","51704.6"
"194168000","72652500","3577","52030.7"
"195027000","72652500","3578","52254.7"
"196020000","72571000","3578","52514.6"
"196879000","72571000","3578","52738.6"
"197870000","72519700","3577","52997.6"
"198983000","72652100","3577","53288.7"
"199981000","72652100","3577","53549.5"
"200840000","72522200","3577","53773.5"
"201833000","72522200","3577","54033.8"
"202692000","72697600","3577","54258.2"
"203944000","72605500","3577","54585.6"
"204803000","72605500","3577","54809.2"
"205796000","72469500","3578","55068.6"
"206655000","72469500","3578","55293.5"
"207648000","72634300","3578","55552.9"
"208761000","72441500","3578","55843.2"
"209754000","72441500","3578","56103.1"
"210840000","72610300","3578","56386.5"
"211699000","72610300","3578","56611.0"
"212691000","72596100","3578","56870.4"
"214027000","72645100","3578","57219.7"
"214885000","72645100","3578","57444.2"
"215878000","72532800","3579","57703.2"
"216959000","72786200","3579","57986.3"
"217818000","72786200","3579","58209.9"
"219066000","72585400","3578","58536.8"
"219924000","72585400","3579","58760.8"
"220923000","72497200","3579","59021.6"
"221781000","72497200","3579","59246.0"
"222774000","72684600","3578","59505.9"
"223889000","72421800","3579","59796.5"
"224882000","72421800","3579","60056.0"
"225741000","72634300","3579","60280.9"
"226733000","72634300","3579","60539.9"
"227592000","72532800","3579","60764.3"
"228840000","72490500","3579","61090.0"
"229700000","72490500","3579","61315.3"
"230698000","72686500","3578","61576.0"
"231556000","72686500","3579","61800.0"
"232549000","72596100","3579","62059.9"
"233664000","72632100","3579","62351.4"
